,メーカー発表,価格,サイズ,重量,記録メディア,発売日,カラー,センサー画素,電源,防水・防塵・耐久性,モニター,補助光,画素，fps,記録フォーマット,マイク,同社調べ,通信・接続,レンズ性能,ズーム倍率,アプリ,シャッタースピード,感度,エンジン,トラッキング,装備品,他,名前の由来,360度,AF,手ブレ,撮影機能,色補正,ビューモード
サンワ、400万画素カメラ2基搭載の全天球360度カメラを20800円で発売,サンワサプライは、全天球360度カメラ「400−ＣＡＭ063」を直販サイト「サンワダイレクト」で発売した,直販価格は20，800円,本体サイズは33×115×20ｍｍ、重量は約100ｇ,本体サイズは33×115×20ｍｍ、重量は約100ｇ,外部記録媒体がｍｉｃｒｏＳＤメモリーカード,,ボディカラーはブラック,本体の前後に400万画素ＣＭＯＳセンサー内蔵カメラをそれぞれ搭載し、全方位撮影できるモデル,電源はＵＳＢ充電式を採用|5Ｖ／1Ａ以上の出力に対応したＵＳＢポートから充電できる|モバイルバッテリーからの充電にも対応する|このほか主な仕様は、充電時間は約5時間、動作時間は約90分,,,,静止画撮影が3008×1504ドット、動画撮影が1920×960／30ｆｐｓに対応,,,,Ｗｉ−Ｆｉ経由でスマートフォン／タブレットと連携し、各種設定も可能,,,専用アプリを使って、映像を確認しながらの撮影や遠隔撮影、撮影画像の確認などを行なえる,,,,,,,,,,,,,撮影した画像や映像は、プラネットモード、標準モード、魚眼モード、ＶＲモードに対応|たとえば、ＶＲモードを選択して、別途ＶＲゴーグルを用意すれば、顔の方向を変えると映像も連動するため、その場にいるような臨場感を楽しめる
エレコム、全方位360度撮影に対応する4K防水カメラ「OMNI shot」,エレコムは、全方位360度撮影に対応する4Ｋ対応ＶＲカメラ「ＯＭＮＩｓｈｏｔＯＣＡＭ−ＶＲＷ01ＢＫ」を発表,価格は72，738円,本体サイズは35×97×34．8ｍｍ、重量は約76ｇ,本体サイズは35×97×34．8ｍｍ、重量は約76ｇ,外部記録媒体は、ｍｉｃｒｏＳＤＨＣメモリーカードをサポート,12月下旬より発売する,,1／2．3型ＣＭＯＳセンサーを2基搭載し、センサーの総画素数は2114万画素×2,,本体は、雨水や汗から保護するＩＰＸ4相当の防水性能を装備,,,4Ｋ／30ｆｐｓに対応し、美しくなめらかな360度動画を撮影できるモデル|静止画は、2450万画素相当の高精細な画質で撮影できる,,,,,,,無料アプリ「ＯＭＮＩｓｈｏｔ」を使って、スマートフォンから操作できる,,,,,,,,4Ｋ／30ｆｐｓに対応し、美しくなめらかな360度動画を撮影できるモデル,,,,また、ＷＤＲ撮影機能も搭載し、黒つぶれや白とびを防ぎ、美しく自然な色合いでの撮影も可能,撮影画像は4つのビューモードに対応する
チーズのような超小型トイデジタルカメラ「DSC Pieni Cheese」、3510円,ケンコー・トキナーは、トイデジタルカメラ「ＤＳＣＰｉｅｎｉＣｈｅｅｓｅ」を12月8日より発売すると発表した,直販価格は3，510円,本体サイズは46×30×24ｍｍ、重量は約16ｇ,本体サイズは46×30×24ｍｍ、重量は約16ｇ,外部メモリーは、ｍｉｃｒｏＳＤＨＣメモリーカードに対応,,,このほか主な仕様は、有効131万画素の1／10型ＣＭＯＳセンサーを装備,,,液晶モニターは非搭載で、素通しの簡易ファインダーを備える,,静止画サイズは1280×1024、動画サイズは720×480／30ｆｐｓ,,,,付属のＵＳＢ接続ケーブルを使ってＰＣに接続し、充電やデータの取り込みが行なえる,,,,シャッタースピードは1／100秒、ＩＳＯ感度はＩＳＯ100,,,,ＵＳＢ接続ケーブル、ハンドストラップが付属する,,フィンランド語で「小さい」という意味の「Ｐｉｅｎｉ」から名づけた,,,,機能面では、本体の「ＭＯＤＥボタン」を使って、写真撮影、動画撮影、音声録音という3つのモードを切り替えられる,「水彩画や油絵のような味わいのある」作品を撮影できるというのが特徴だ,
キヤノン、重量399gのAPS-Cコンデジ「PowerShot G1 X Mark III」,キヤノンは、プレミアムコンパクトカメラ「ＰｏｗｅｒＳｈｏｔＧ」シリーズの新モデル「ＰｏｗｅｒＳｈｏｔＧ1ＸＭａｒｋＩＩＩ」を発表,キヤノンオンラインショップの価格は127，500円,本体サイズは115×77．9×51．4ｍｍ、重量は約399ｇ,ボディは、従来機種に比べて重量約27％、体積約16％という軽量・小型化を実現|本体サイズは115×77．9×51．4ｍｍ、重量は約399ｇ,このほか主な仕様は、外部記録媒体がＳＤ／ＳＤＨＣ／ＳＤＸＣメモリーカードをサポート,11月下旬より発売する|2014年3月に発売した「ＰｏｗｅｒＳｈｏｔＧ1ＸＭａｒｋＩＩ」の後継と位置づけるモデル,,有効約2420万画素、約22．3×14．9ｍｍのＡＰＳ−ＣサイズＣＭＯＳセンサーを、キヤノンのコンパクトカメラとして初めて搭載した,,防じん・防滴性能も備える,また、水平方向約175度、前方回転約180度、後方回転約90度まで動かせる、3．0型バリアングル液晶を装備|視野率約100％の高精細ＥＶＦを内蔵し、キヤノン独自のレンズと約236万ドットの有機ＥＬパネルを採用することで、周辺部まで高い解像感を確保するという,,動画機能は、1920×1080記録に対応する ,,,,Ｗｉ−Ｆｉ、ＮＦＣ、Ｂｌｕｅｔｏｏｔｈによる通信機能も搭載した,さらに、ＣＭＯＳセンサーの大型化に合わせて、35ｍｍ判換算で焦点距離24～72ｍｍの画角に対応する光学3倍ズームレンズを新たに設計,さらに、ＣＭＯＳセンサーの大型化に合わせて、35ｍｍ判換算で焦点距離24～72ｍｍの画角に対応する光学3倍ズームレンズを新たに設計,タッチ操作にも対応し、撮影時の操作性や撮影アングルの自由度を高める,,,加えて、映像エンジンＤＩＧＩＣ7のノイズ低減処理により、静止画撮影時に常用最高感度ＩＳＯ25600の高感度を達成した,,,,,,撮影画面の約80％×80％の広い範囲で、位相差ＡＦによる高速・高精度なピント合わせや、動く被写体に対してなめらかなピント追従が可能だ|ＣＭＯＳセンサーの画素が撮像と位相差ＡＦの機能を併せ備えた「デュアルピクセルＣＭＯＳＡＦ」も採用|「タッチ＆ドラッグＡＦ」機能も搭載した,,,,
カシオ、G-SHOCK級のタフカメラ「G'z EYE GZE-1」,カシオ計算機は、エクストリームスポーツの撮影に適したタフカメラの新ブランド「Ｇ’ｚＥＹＥ」を立ち上げ、耐衝撃性能・防水性能・防塵性能を備えた「ＧＺＥ−1」を発表,市場想定価格は50，000円前後,このほか、本体サイズは74．1×75．0×46．4ｍｍ,重量は約172ｇ,記録メディアは、内蔵メモリーが約14．8ＭＢ、外部メモリーがｍｉｃｒｏＳＤＸＣメモリーカードに対応する,10月27日より発売する,,性能面では、撮像素子に有効690万画素の1／2．3型ＣＭＯＳセンサーを搭載する,カメラ単体動作時のバッテリー寿命は、静止画撮影が約355枚、フルＨＤ動画の動画実撮影が約1時間10分、フルＨＤ動画の連続撮影が約1時間35分、ハイスピード動画ＨＳ240の連続撮影が約1時間40分,ダンスやＢＭＸ、スケートボード、スノーボード、サーフィンなど、さまざまなエクストリームスポーツでの使用に耐える4ｍ落下耐衝撃性能、50ｍ防水性能、ＩＰ6Ｘの防塵性能、－10度の耐低温性能を備えたタフカメラ|衝撃に強い腕時計「Ｇ−ＳＨＯＣＫ」や、アウトドア向けセパレート型デジタルカメラ「ＯｕｔｄｏｏｒＲｅｃｏｒｄｅｒ」シリーズで培ってきたノウハウを結集して開発されている,,,記録画素数は、静止画が600万画素、動画がフルＨＤ／ＳＴＤ／ＨＳ240／ＨＳ120,,ステレオマイクやモノラルスピーカーを内蔵する,,通信機能として、Ｂｌｕｅｔｏｏｔｈ4．1とＩＥＥＥ802．11ｂ／ｇ／ｎ準拠の無線ＬＡＮを搭載|接続端子はＭｉｃｒｏＵＳＢ端子を装備,搭載レンズは、焦点距離が35ｍｍ判換算で13ｍｍ、Ｆ値が2．8|パンフォーカスで、撮影可能範囲が約40ｃｍ～|また、190．8度／170．4度の超広角レンズを搭載し、広々とした背景で臨場感のある写真を撮影することが可能",,"スマートフォンとの連携機能では、快適に操作できる専用アプリ「Ｇ’ｚＥＹＥ」を開発|スマートフォンに画像を転送できるほか、転送前に動画の簡易再生も行える,,,,,なお、別売りのアクセサリーとして、胸回りにカメラを固定できるチェストマウントハーネス「ＧＥＡ−1」、安定した置き撮りが可能なスタンド付カラビナ「ＧＥＡ−2」、ブレを軽減するジンバル「ＧＥＡ−3」を用意する|さらに、別売のリモートコントローラーまたは液晶コントローラーを使用することで、カメラを自撮り棒や身体に取り付け、手元でシャッターを切るなどの操作が簡単に行える,,,,,,さらに、動画の一部だけをスローモーションで撮影する「ドラマチックスロー機能」を備える|「ドラマチックスロー機能」では、動画撮影中に「見せ場」が来た瞬間にボタンを押すと、その瞬間を再生時に120ｆｐｓまたは240ｆｐｓのスローモーションに切り替えることが可能|スローに切り替える範囲は、ボタンを押す前・前後・後ろの3つから選択することができる|一瞬で過ぎてしまう決定的瞬間も、目で見てからボタンを押すことで、大事な瞬間に遡って捉えられるという|リモートコントローラーでは、静止画・動画撮影、「ドラマチックスロー機能」の操作が可能|通常の撮影モードのほか、目の前のスポーツに集中できるように、シャッターボタンのみを画面に大きく表示し、スマートフォンを見ずにリモート撮影ができるモードも搭載,,液晶コントローラーでは、リモートコントローラーの機能に加え、モニター表示や撮影に関する各種設定などが行える
ソニー、0.03秒高速AF対応の超望遠600mmズームカメラ「RX10 IV」,ソニーは、デジタルカメラ「サイバーショット」シリーズより、メモリー一体1．0型積層型ＣＭＯＳイメージセンサーＥｘｍｏｒＲＳを搭載した「ＲＸ10ＩＶＤＳＣ−ＲＸ10Ｍ4」を発表,市場想定価格は190，000円前後,本体サイズは132．5×94×145ｍｍで、重量は約1095ｇ,本体サイズは132．5×94×145ｍｍで、重量は約1095ｇ,,9月20日10時より予約受付を開始し、10月6日より発売する,,,バッテリー使用時間は、静止画撮影時が約400枚、ファインダー使用時で約370枚,,ファインダーは0．39型の電子式有機ＥＬを採用し、背面モニターには、タッチパネル対応の3型チルト液晶を装備,,,このほか、静止画の記録フォーマットがＪＰＥＧ、ＲＡＷ、動画の記録フォーマットがＸＡＶＣＳ、ＡＶＣＨＤＶｅｒ．2．0に対応,,,,,レンズは、光学25倍ズームレンズ「ＺＥＩＳＳＶａｒｉｏ−ＳｏｎｎａｒＴ＊24−600ｍｍ」を装備|さらに、600ｍｍで約72ｃｍまで被写体に寄れる、テレマクロ撮影を楽しめる|計8枚のＥＤガラスを採用し、望遠撮影時に目立ちやすい色収差を良好に補正|ズーム全域で、高コントラストかつシャープな画質を得られるという ,,レンズ駆動制御も最適化し、世界最速0．03秒の高速AFを実現する|バッファメモリーの大容量化などにより、249枚まで連続撮影できる,画素加算のない全画素読み出しによる高解像度4Ｋ動画機能、撮影時間が増えた最大40倍のスーパースローモーション機能によって、プロの映像制作のニーズにも応える,また、画像処理エンジンＢＩＯＮＺＸと、それをサポートするフロントエンドＬＳＩによって、最高24コマ／秒の高速連写を実現,,,,,,,超望遠や暗所撮影時に役立つ4．5段分の高い手ブレ補正効果に加えて、美しいぼけを生み出す9枚羽根円形絞り機構も採用した,このほか、サイレント撮影が可能なため、静粛さが求められる野生動物やコンサート会場での撮影時など、場所やシーンを選ばずに撮影できる点も特徴だ|連写した静止画のグループ表示や、タッチフォーカス機能、タッチパッド機能、フォーカスレンジリミッターなど、高速撮影をサポートする機能も搭載,,
リコー、4K/4ch対応 360度カメラ「RICOH THETA V」が9月15日発売決定,リコーおよびリコーイメージングは、360度カメラ「ＲＩＣＯＨＴＨＥＴＡ」シリーズの最上位モデル「ＲＩＣＯＨＴＨＥＴＡＶ」の発売日を、9月15日に決定したことを発表した,価格はオープン,本体サイズは45．2×130．6×17．9～22．9ｍｍ,重量は約121ｇ,,リコーおよびリコーイメージングは、360度カメラ「ＲＩＣＯＨＴＨＥＴＡ」シリーズの最上位モデル「ＲＩＣＯＨＴＨＥＴＡＶ」の発売日を、9月15日に決定したことを発表した,ボディカラーはメタリックグレー,主な仕様は、撮像素子が1200万画素×2、レンズ構成が6群7枚（F2.0）、撮影距離が約10cm～∞（レンズ先端より）、記録媒体が約19GB（内蔵メモリー）、外部インターフェイスがmicroUSB、マイク端子,,,,,動画記録では、4Ｋサイズに相当する3840×1920ドットで30ｆｐｓの、高精細で滑らかな360度動画撮影に対応,動画記録のファイル形式は、Ｈ．264に加えて、Ｈ．265形式にも対応可能となっている,音声記録では、カメラ本体に360度空間音声記録に対応した4ｃｈマイクを内蔵|水平方向だけでなく上下方向も含めた360度全方位の音声を記録することで、360度映像と音声がリンクした、撮影環境のままの音と映像を再現することが可能だ,,データ転送では、スマートフォンやタブレットとの接続方式をＢｌｕｅｔｏｏｔｈと無線ＬＡＮの両方式から選択することが可能,,,,,「ＲＩＣＯＨＴＨＥＴＡＶ」は、小型・軽量ボディながらも、4Ｋ解像度に相当する高画質な360度動画撮影や360度空間音声記録に対応し、大容量データを快適に閲覧可能な高速転送を実現した全天球デジタルカメラ|また、撮影データの高速読み出しに対応した新型イメージセンサーとメインプロセッサーにクアルコム社の「Ｓｎａｐｄｒａｇｏｎ」を採用し、静止画、動画の画質を大幅に向上しながら、低消費電力化を両立させている|さらに、同社のデジタル一眼レフカメラや「ＧＲ」など高性能カメラの開発で培ってきた画像処理技術を融合させることで露出精度やホワイトバランスのアルゴリズムを一新し、静止画の出力画素で約1400万画素に相当する高精細な360度の全天球イメージを、オート撮影でも正確で自然な描写が得られるチューニングが施されている|さらに、無線通信モジュールの改良とデータ処理の高速化により、通信速度を従来機種「ＲＩＣＯＨＴＨＥＴＡＳ」の最大約2．5倍に高めており、高画質化にともなう大容量の撮影画像データも快適に転送、閲覧することが可能だ,,,さらに、同時発売予定の専用アクセサリー「3ＤマイクロフォンＴＡ−1」を利用することで、低域から高域まで情報量の多い自然な音が収音できるという,,,動画記録では、4Ｋサイズに相当する3840×1920ドットで30ｆｐｓの、高精細で滑らかな360度動画撮影に対応,,,,,さらに、360度映像をミラーリング再生することが可能な「リモート再生機能」や、4Ｋ360度ライブストリーミング出力などに対応する
ソニー、1型センサー搭載デジカメ「RX0」を10/27に発売決定,同社はすでに、ドイツ・ベルリンで開催されているコンスーマーエレクトロニクスショー「ＩＦＡ2017」で「ＲＸ0」を発表しており、これが国内での正式発表となる,市場想定価格は80，000円前後,,,,ソニーは、「サイバーショット」シリーズより、小型モデルの「ＲＸ0」を10月27日より発売すると発表した|9月6日10時より予約販売を開始する|なお、同社では専用アクセサリー7モデルを10月27日より順次発売する,,仕様面では、高感度で低ノイズ、広いダイナミックレンジを実現する、有効約1530万画素メモリー一体1．0型積層型ＣＭＯＳイメージセンサー「ＥｘｍｏｒＲＳ」と、高解像で歪みの少ない広角ＺＥＩＳＳＴｅｓｓａｒＴ＊24ｍｍレンズ、画像処理エンジン「ＢＩＯＮＺＸ」を装備する,,「ＲＸ0」は、水深10ｍ／60分までの撮影に対応するＩＰＸ8相当の防水性能に加えて、2ｍの落下耐性、200ｋｇｆｔの耐荷重という堅牢性を、重量110ｇの小型ボディに備えたモデル,,,撮影フレームレートは960ｆｐｓ／480ｆｐｓ／240ｆｐｓ、記録フォーマットは60ｐ／30ｐ／24ｐから指定でき、被写体のスピードに合わせて最適な倍率で、4倍～40倍のスローモーション映像を記録できる,,,,,,,モバイルアプリケーションＰｌａｙＭｅｍｏｒｉｅｓＭｏｂｉｌｅをインストールしたスマートフォンやタブレットと、設置自由度の高いワイヤレスで接続する場合は、最大5台までの画角確認、シャッター／ＲＥＣの操作が行なえる,最高1／32000秒のアンチディストーションシャッター、最高約16コマ／秒の高速連写なども搭載する,,,,また、別売りの電波式ワイヤレスコマンダー「ＦＡ−ＷＲＣ1Ｍ」を使って、最大15台でのリモートレリーズ撮影も可能|さらに、アクセスポイントを活用して、より多くの台数による接続・操作が可能|別売りのカメラコントロールボックスを使用すれば、安定した有線接続でのカメラ操作と高精度な同期が行なえる|ラインアップは、ケージ「ＶＣＴ−ＣＧＲ1」、ハウジング「ＭＰＫ−ＨＳＲ1」、フィルターアダプターキット「ＶＦＡ−305Ｒ1」、ケーブルプロテクター「ＣＰＴ−Ｒ1」、スペアレンズプロテクター「ＶＦ−ＳＰＲ1」、リチャージャブルバッテリーパック「ＮＰ−ＢＪ1」、アクセサリーキット「ＡＣＣ−ＴＲＤＣＪ」,,,,,,撮影機能では、最高960ｆｐｓのスーパースローモーション機能を搭載し、最大約4秒まで撮影可能|このほか、ピクチャープロファイル、Ｓ−Ｌｏｇ2ガンマ、画素加算のない全画素読み出しの4Ｋ動画のＨＤＭＩクリア出力などの撮影機能も搭載する,,
リコー、4K/4ch録音に対応した360度カメラ「RICOH THETA V」,リコーおよびリコーイメージングは、360度カメラ「ＲＩＣＯＨＴＨＥＴＡ」シリーズの最上位機種として、「ＲＩＣＯＨＴＨＥＴＡＶ」を発表,価格はオープン,本体サイズは45．2×130．6×17．9～22．9ｍｍ,重量は約121ｇ,,9月下旬より発売する,ボディカラーはメタリックグレー,主な仕様は、撮像素子が1200万画素×2、レンズ構成が6群7枚（F2.0）、撮影距離が約10cm～∞（レンズ先端より）、記録媒体が約19GB（内蔵メモリー）、外部インターフェイスがmicroUSB、マイク端子,このほか、バッテリー寿命は、静止画が約300枚、動画が約80分,,,,動画記録では、4Ｋサイズに相当する3840×1920ドットで30ｆｐｓの、高精細で滑らかな360度動画撮影に対応,動画記録のファイル形式は、Ｈ．264に加えて、Ｈ．265形式にも対応可能となっている,音声記録では、カメラ本体に360度空間音声記録に対応した4ｃｈマイクを内蔵|水平方向だけでなく上下方向も含めた360度全方位の音声を記録することで、360度映像と音声がリンクした、撮影環境のままの音と映像を再現することが可能だ,,データ転送では、スマートフォンやタブレットとの接続方式をＢｌｕｅｔｏｏｔｈと無線ＬＡＮの両方式から選択することが可能,,,,,小型・軽量ボディながらも、4Ｋ解像度に相当する高画質な360度動画撮影や360度空間音声記録に対応し、大容量データを快適に閲覧可能な高速転送を実現したのが特徴だ|また、撮影データの高速読み出しに対応した新型イメージセンサーとメインプロセッサーにクアルコム社の「Ｓｎａｐｄｒａｇｏｎ」を採用し、静止画、動画の画質を大幅に向上しながら、低消費電力化を両立させている|さらに、同社のデジタル一眼レフカメラや「ＧＲ」など高性能カメラの開発で培ってきた画像処理技術を融合させることで露出精度やホワイトバランスのアルゴリズムを一新し、静止画の出力画素で約1400万画素に相当する高精細な360度の全天球イメージを、オート撮影でも正確で自然な描写が得られるチューニングが施されている|さらに、無線通信モジュールの改良とデータ処理の高速化により、通信速度を従来機種「ＲＩＣＯＨＴＨＥＴＡＳ」の最大約2．5倍に高めており、高画質化にともなう大容量の撮影画像データも快適に転送、閲覧することが可能だ,,,さらに、同時発売予定の専用アクセサリー「3ＤマイクロフォンＴＡ−1」を利用することで、低域から高域まで情報量の多い自然な音が収音できるという,,,動画記録では、4Ｋサイズに相当する3840×1920ドットで30ｆｐｓの、高精細で滑らかな360度動画撮影に対応,,,,,さらに、360度映像をミラーリング再生することが可能な「リモート再生機能」や、4Ｋ360度ライブストリーミング出力などに対応する
ソニー、1型センサー搭載の防水・耐衝撃デジカメ「RX0」発表,ソニーは、ドイツ・ベルリンで現地時間9月1日より開催されているコンスーマーエレクトロニクスショー「ＩＦＡ2017」において、小型カメラ「ＲＸ0」を発表した,,,,,,,「ＲＸ0」は、有効約1530万画素メモリー一体1型積層型ＣＭＯＳイメージセンサー「ＥｘｍｏｒＲＳ」とＺＥＩＳＳＴｅｓｓａｒＴ＊24ｍｍ広角レンズを装備した小型カメラ,,堅牢性と防水性を兼ね備えており、水深10ｍの防水性能や2ｍの落下耐性、200ｋｇｆ耐荷重の堅牢性を備えた|防水性能はＩＰＸ8相当だ,,,撮影機能では、最高毎秒960ｆｐｓまでのスーパースローモーション撮影が可能|画質優先設定で240ｆｐｓを選択した場合、フルＨＤ相当の画質で記録できる,,なお、音声は記録できないという,,設置自由度の高いワイヤレス接続（モバイルアプリケーションPlayMemories Mobileを使用した場合は最大5台、アクセスポイントを使用して、さらに多い台数の接続・操作も可能）や信頼性の高い有線接続（有線接続のための別売りのカメラコントロールボックスは、2018年1月発売予定）による、複数台での撮影ソリューションも提案していく構えだ,,,,,,,,,,,,,,また、単体での撮影に加えて、複数台を組み合わせて多視点撮影にも対応する,,
